	HB.var_c
3.30000000000000115E0	3	7.48966372659660085E9
3.30000000000000115E0	4	9.98621830212880113E9
3.30000000000000115E0	5	1.24827728776610014E10
3.30000000000000115E0	6	1.49793274531932008E10
3.30000000000000115E0	7	1.74758820287254002E10
3.30000000000000115E0	8	1.99724366042576018E10
3.30000000000000115E0	9	2.24689911797897990E10
3.30000000000000115E0	10	2.49655457553220028E10

var_c	harmindex	freq[12, ::]
3.40000000000000124E0	0	0.00000000000000000E0
3.40000000000000124E0	1	2.49532796957465797E9
3.40000000000000124E0	2	4.99065593914931593E9
3.40000000000000124E0	3	7.48598390872397523E9
3.40000000000000124E0	4	9.98131187829863187E9
3.40000000000000124E0	5	1.24766398478732898E10
3.40000000000000124E0	6	1.49719678174479509E10
3.40000000000000124E0	7	1.74672957870226075E10
3.40000000000000124E0	8	1.99626237565972642E10
3.40000000000000124E0	9	2.24579517261719186E10
3.40000000000000124E0	10	2.49532796957465797E10

var_c	harmindex	freq[13, ::]
3.50000000000000133E0	0	0.00000000000000000E0
3.50000000000000133E0	1	2.49416717783412789E9
3.50000000000000133E0	2	4.98833435566825578E9
3.50000000000000133E0	3	7.48250153350238367E9
3.50000000000000133E0	4	9.97666871133651156E9
3.50000000000000133E0	5	1.24708358891706395E10
3.50000000000000133E0	6	1.49650030670047673E10
3.50000000000000133E0	7	1.74591702448389019E10
3.50000000000000133E0	8	1.99533374226730231E10
3.50000000000000133E0	9	2.24475046005071510E10
3.50000000000000133E0	10	2.49416717783412789E10

var_c	harmindex	freq[14, ::]
3.60000000000000142E0	0	0.00000000000000000E0
3.60000000000000142E0	1	2.49306704263959933E9
3.60000000000000142E0	2	4.98613408527919866E9
3.60000000000000142E0	3	7.47920112791879710E9
3.60000000000000142E0	4	9.97226817055839732E9
3.60000000000000142E0	5	1.24653352131979966E10
3.60000000000000142E0	6	1.49584022558375951E10
3.60000000000000142E0	7	1.74514692984771891E10
3.60000000000000142E0	8	1.99445363411167942E10
3.60000000000000142E0	9	2.24376033837563904E10
3.60000000000000142E0	10	2.49306704263959933E10

var_c	harmindex	freq[15, ::]
3.70000000000000151E0	0	0.00000000000000000E0
3.70000000000000151E0	1	2.49202293144558729E9
